created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleaned_text,tokens,normalisasi,Stopwords,Stemmer,label,sentiment,score
Sun Aug 27 23:21:18 +0000 2023,1695939577196982709,@kacchaou Cocoki ga sih,0,1,0,0,in,85044516,1695800625362280638,herianiyulia,https://twitter.com/herianiyulia/status/1695939577196982709,cocoki ga sih,"['cocoki', 'ga', 'sih']","['cocoki', 'tidak', 'sih']","['cocoki', 'sih']",cocok sih,POSITIVE,"{'label': 'POSITIVE', 'score': 0.8623359203338623}",0.8623359203338623
Sun Aug 27 23:14:57 +0000 2023,1695937978110280018,alasan buat thread menang cocoki adalah? biar ga penuhin memori di galeri dan buat kenang kenangan bisa menangin game laknat ini 😎👊🏻  soalnya mau diapus ss nya juga sayang jadi buat ginian deng 🫶🏻🩵,0,0,0,0,in,1601146702165340160,1695937978110280018,kissedbyfara,https://twitter.com/kissedbyfara/status/1695937978110280018,alasan buat thread menang cocoki adalah biar ga penuhin memori di galeri dan buat kenang kenangan bisa menangin game laknat ini soalnya mau diapus ss nya juga sayang jadi buat ginian deng,"['alasan', 'buat', 'thread', 'menang', 'cocoki', 'adalah', 'biar', 'ga', 'penuhin', 'memori', 'di', 'galeri', 'dan', 'buat', 'kenang', 'kenangan', 'bisa', 'menangin', 'game', 'laknat', 'ini', 'soalnya', 'mau', 'diapus', 'ss', 'nya', 'juga', 'sayang', 'jadi', 'buat', 'ginian', 'deng']","['alasan', 'buat', 'thread', 'menang', 'cocoki', 'adalah', 'biar', 'tidak', 'penuhin', 'memori', 'di', 'galeri', 'dan', 'buat', 'kenang', 'kenangan', 'bisa', 'menangin', 'game', 'laknat', 'ini', 'soalnya', 'mau', 'diapus', 'ss', 'nya', 'juga', 'sayang', 'jadi', 'buat', 'ginian', 'deng']","['thread', 'menang', 'cocoki', 'penuhin', 'memori', 'galeri', 'kenang', 'kenangan', 'menangin', 'game', 'laknat', 'diapus', 'ss', 'sayang', 'ginian', 'deng']",thread menang cocok penuhin memori galeri kenang kenang menangin game laknat diapus ss sayang ginian deng,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9841757416725159}",0.9841757416725159
Sun Aug 27 23:12:11 +0000 2023,1695937281885180242,@hwistoria Dewa cocoki,0,1,0,0,in,1209409941800284161,1695934843274821889,thisisuerkiz,https://twitter.com/thisisuerkiz/status/1695937281885180242,dewa cocoki,"['dewa', 'cocoki']","['dewa', 'cocoki']","['dewa', 'cocoki']",dewa cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9419493079185486}",0.9419493079185486
Sun Aug 27 23:12:07 +0000 2023,1695937262452883692,"Pamer menang shopee cocoki part 2.27. Good morning kepada screen recordku, spotipai, dan syopi yang mau diajak kerja sama pagi ini 😘 https://t.co/CCIEWaeU3p",1,1,0,0,in,1518393276,1695937262452883692,yayukfit,https://twitter.com/yayukfit/status/1695937262452883692,pamer menang shopee cocoki part 227 good morning kepada screen recordku spotipai dan syopi yang mau diajak kerja sama pagi ini,"['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'kepada', 'screen', 'recordku', 'spotipai', 'dan', 'syopi', 'yang', 'mau', 'diajak', 'kerja', 'sama', 'pagi', 'ini']","['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'kepada', 'screen', 'recordku', 'spotipai', 'dan', 'syopi', 'yang', 'mau', 'diajak', 'kerja', 'sama', 'pagi', 'ini']","['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'screen', 'recordku', 'spotipai', 'syopi', 'diajak', 'kerja']",pamer menang shopee cocok part 227 good morning screen recordku spotipai syopi ajak kerja,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6923279762268066}",0.6923279762268066
Sun Aug 27 23:06:23 +0000 2023,1695935820178583978,COCOKI JANCOK,0,0,0,0,in,1625739199252156423,1695935820178583978,ddikkeyy,https://twitter.com/ddikkeyy/status/1695935820178583978,cocoki jancok,"['cocoki', 'jancok']","['cocoki', 'jancok']","['cocoki', 'jancok']",cocok jancok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9245151877403259}",0.9245151877403259
Sun Aug 27 23:03:56 +0000 2023,1695935204869931435,ya Allah pagi-pagi udah menang cocoki.. today's gonna be a GOOD DAY 😁 https://t.co/sJmmBEgHQv,0,1,0,0,in,547495115,1695935204869931435,STPHNHWANG,https://twitter.com/STPHNHWANG/status/1695935204869931435,ya allah pagipagi udah menang cocoki todays gonna be good day,"['ya', 'allah', 'pagipagi', 'udah', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']","['ya', 'allah', 'pagipagi', 'sudah', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']","['ya', 'allah', 'pagipagi', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']",ya allah pagipagi menang cocok todays gon na be good day,POSITIVE,"{'label': 'POSITIVE', 'score': 0.9845394492149353}",0.9845394492149353
Sun Aug 27 23:01:27 +0000 2023,1695934580862365836,WOOOW cocoki gue hari ini langsung menang di percobaan pertama hahaha,0,1,0,0,in,2410020924,1695934580862365836,hanathexplorer,https://twitter.com/hanathexplorer/status/1695934580862365836,wooow cocoki gue hari ini langsung menang di percobaan pertama hahaha,"['wooow', 'cocoki', 'gue', 'hari', 'ini', 'langsung', 'menang', 'di', 'percobaan', 'pertama', 'hahaha']","['wooow', 'cocoki', 'saya', 'hari', 'ini', 'langsung', 'menang', 'di', 'percobaan', 'pertama', 'hahaha']","['wooow', 'cocoki', 'langsung', 'menang', 'percobaan', 'hahaha']",wooow cocok langsung menang coba hahaha,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9906921982765198}",0.9906921982765198
Sun Aug 27 22:57:01 +0000 2023,1695933466448367742,@dudidudidumb Skip dlu kt cocoki,0,1,0,0,in,2950138574,1695930178659373369,inikhael,https://twitter.com/inikhael/status/1695933466448367742,skip dlu kt cocoki,"['skip', 'dlu', 'kt', 'cocoki']","['skip', 'dulu', 'kita', 'cocoki']","['skip', 'cocoki']",skip cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9969006776809692}",0.9969006776809692
Sun Aug 27 22:56:50 +0000 2023,1695933418759241735,@EchoesJAKE FAKMEN GUA UDAH LUPA CARA MAIN COCOKI.,0,1,0,0,in,1694974043911561216,1695930651495796778,VoyagersMarklee,https://twitter.com/VoyagersMarklee/status/1695933418759241735,fakmen gua udah lupa cara main cocoki,"['fakmen', 'gua', 'udah', 'lupa', 'cara', 'main', 'cocoki']","['fakmen', 'gua', 'sudah', 'lupa', 'cara', 'main', 'cocoki']","['fakmen', 'gua', 'lupa', 'main', 'cocoki']",fakmen gua lupa main cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9716703295707703}",0.9716703295707703
Sun Aug 27 22:56:10 +0000 2023,1695933252476039561,@yoonghere Siap ikut lomba cocoki😁,0,0,0,0,in,885726809706209282,1695807742144098489,NIDNOPE,https://twitter.com/NIDNOPE/status/1695933252476039561,siap ikut lomba cocoki,"['siap', 'ikut', 'lomba', 'cocoki']","['siap', 'ikut', 'lomba', 'cocoki']","['lomba', 'cocoki']",lomba cocok,POSITIVE,"{'label': 'POSITIVE', 'score': 0.6408445835113525}",0.6408445835113525
Sun Aug 27 22:53:56 +0000 2023,1695932688216248572,"Ingpo cit sopi cocoki, gw dh lelah https://t.co/8M3M4OvX9H",0,0,0,0,in,1456162273416810498,1695932688216248572,tisaaWoe,https://twitter.com/tisaaWoe/status/1695932688216248572,ingpo cit sopi cocoki gw dh lelah,"['ingpo', 'cit', 'sopi', 'cocoki', 'gw', 'dh', 'lelah']","['info', 'cit', 'shopee', 'cocoki', 'gw', 'dh', 'lelah']","['info', 'cit', 'shopee', 'cocoki', 'gw', 'dh', 'lelah']",info cit shopee cocok gw dh lelah,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9869856238365173}",0.9869856238365173
Sun Aug 27 22:43:49 +0000 2023,1695930144542871700,anjay pertama kali dapet cocoki https://t.co/02X2JeRO7P,0,0,0,0,in,1055518643004485633,1695930144542871700,mienstann,https://twitter.com/mienstann/status/1695930144542871700,anjay pertama kali dapet cocoki,"['anjay', 'pertama', 'kali', 'dapet', 'cocoki']","['anjay', 'pertama', 'kali', 'dapet', 'cocoki']","['anjay', 'kali', 'dapet', 'cocoki']",anjay kali dapet cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9361766576766968}",0.9361766576766968
Sun Aug 27 22:31:35 +0000 2023,1695927065114198078,belum tidur hm semaleman bukannya ngerjain apa gitu malah main shopee cocoki. geregetan jd gabisa tidur,0,0,0,0,in,1619785575116201984,1695927065114198078,spidermarkworld,https://twitter.com/spidermarkworld/status/1695927065114198078,belum tidur hm semaleman bukannya ngerjain apa gitu malah main shopee cocoki geregetan jd gabisa tidur,"['belum', 'tidur', 'hm', 'semaleman', 'bukannya', 'ngerjain', 'apa', 'gitu', 'malah', 'main', 'shopee', 'cocoki', 'geregetan', 'jd', 'gabisa', 'tidur']","['belum', 'tidur', 'hm', 'semaleman', 'bukannya', 'ngerjain', 'apa', 'begitu', 'malah', 'main', 'shopee', 'cocoki', 'geregetan', 'jadi', 'gabisa', 'tidur']","['tidur', 'hm', 'semaleman', 'ngerjain', 'main', 'shopee', 'cocoki', 'geregetan', 'gabisa', 'tidur']",tidur hm maleman ngerjain main shopee cocok gereget gabisa tidur,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9803810715675354}",0.9803810715675354
Sun Aug 27 22:29:46 +0000 2023,1695926608388116805,au dah ini cocoki asu,0,0,0,0,in,1679722054789263360,1695926608388116805,eskupwinjuseyo,https://twitter.com/eskupwinjuseyo/status/1695926608388116805,au dah ini cocoki asu,"['au', 'dah', 'ini', 'cocoki', 'asu']","['tahu', 'sudah', 'ini', 'cocoki', 'asu']","['cocoki', 'asu']",cocok asu,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8720169067382812}",0.8720169067382812
Sun Aug 27 22:29:13 +0000 2023,1695926470437372177,"@I_cylindrica Pasti hari Senin mu indah kak. Aku lagi scroll tips cocoki hari ini, huhu",0,1,0,0,in,3425819507,1695818718897754544,slhanum_,https://twitter.com/slhanum_/status/1695926470437372177,pasti hari senin mu indah kak aku lagi scroll tips cocoki hari ini huhu,"['pasti', 'hari', 'senin', 'mu', 'indah', 'kak', 'aku', 'lagi', 'scroll', 'tips', 'cocoki', 'hari', 'ini', 'huhu']","['pasti', 'hari', 'senin', 'mu', 'indah', 'kak', 'saya', 'lagi', 'scroll', 'tips', 'cocoki', 'hari', 'ini', 'huhu']","['senin', 'mu', 'indah', 'kak', 'scroll', 'tips', 'cocoki', 'huhu']",senin mu indah kak scroll tips cocok huhu,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9642370939254761}",0.9642370939254761
Sun Aug 27 22:27:09 +0000 2023,1695925948464644104,memulai hari senin dengan menang cocoki 🫠 https://t.co/HqFrB9lau4,0,2,0,0,in,892816112315912192,1695818718897754544,I_cylindrica,https://twitter.com/I_cylindrica/status/1695925948464644104,memulai hari senin dengan menang cocoki,"['memulai', 'hari', 'senin', 'dengan', 'menang', 'cocoki']","['memulai', 'hari', 'senin', 'dengan', 'menang', 'cocoki']","['senin', 'menang', 'cocoki']",senin menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6304615139961243}",0.6304615139961243
Sun Aug 27 22:15:29 +0000 2023,1695923010652590199,@indahazhr_ Tapi temen gue ada yg 3x menang Cocoki 😭,0,0,0,0,in,41380133,1695619332930428959,nindyabestari,https://twitter.com/nindyabestari/status/1695923010652590199,tapi temen gue ada yg 3x menang cocoki,"['tapi', 'temen', 'gue', 'ada', 'yg', '3x', 'menang', 'cocoki']","['tetapi', 'temen', 'saya', 'ada', 'yang', '3x', 'menang', 'cocoki']","['temen', '3x', 'menang', 'cocoki']",temen 3x menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6121538281440735}",0.6121538281440735
Sun Aug 27 22:07:54 +0000 2023,1695921104081351136,“dia lebih cantik”  - owh  “dia lebih pinter” - owh  “dia bisa menang cocoki” - 😭😭😭,0,0,0,0,in,1132685591567462402,1695921104081351136,_kkeshii,https://twitter.com/_kkeshii/status/1695921104081351136,dia lebih cantik owh dia lebih pinter owh dia bisa menang cocoki,"['dia', 'lebih', 'cantik', 'owh', 'dia', 'lebih', 'pinter', 'owh', 'dia', 'bisa', 'menang', 'cocoki']","['dia', 'lebih', 'cantik', 'owh', 'dia', 'lebih', 'pinter', 'owh', 'dia', 'bisa', 'menang', 'cocoki']","['cantik', 'owh', 'pinter', 'owh', 'menang', 'cocoki']",cantik owh pinter owh menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9781554341316223}",0.9781554341316223
Sun Aug 27 21:56:50 +0000 2023,1695918317348028716,"menang ke sebelas kali  shopee cocoki senin, 28 agustus 2023 🏆 https://t.co/c4TuH1W7PT",0,2,0,0,in,91371264,1688903898713751553,ceciliamanda,https://twitter.com/ceciliamanda/status/1695918317348028716,menang ke sebelas kali shopee cocoki senin 28 agustus 2023,"['menang', 'ke', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']","['menang', 'ke', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']","['menang', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']",menang sebelas kali shopee cocok senin 28 agustus 2023,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8660433292388916}",0.8660433292388916
Sun Aug 27 21:45:42 +0000 2023,1695915517956256249,"blm pernah, ngeselin itu cocoki ditimpa timpa jadi susah masanginnya",0,0,0,0,in,1249329643938668544,1695915517956256249,ciaaforger,https://twitter.com/ciaaforger/status/1695915517956256249,blm pernah ngeselin itu cocoki ditimpa timpa jadi susah masanginnya,"['blm', 'pernah', 'ngeselin', 'itu', 'cocoki', 'ditimpa', 'timpa', 'jadi', 'susah', 'masanginnya']","['belum', 'pernah', 'ngeselin', 'itu', 'cocoki', 'ditimpa', 'timpa', 'jadi', 'susah', 'masanginnya']","['ngeselin', 'cocoki', 'ditimpa', 'timpa', 'susah', 'masanginnya']",ngeselin cocok timpa timpa susah masanginnya,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9841170907020569}",0.9841170907020569
Sun Aug 27 21:41:04 +0000 2023,1695914350199095668,"emang boleh gitu sama kayak kemarin,  tapi cocoki hari ini lumayan https://t.co/MnljQXfYLQ",0,0,0,0,in,1474581021144150020,1695914350199095668,akumaum3,https://twitter.com/akumaum3/status/1695914350199095668,emang boleh gitu sama kayak kemarin tapi cocoki hari ini lumayan,"['emang', 'boleh', 'gitu', 'sama', 'kayak', 'kemarin', 'tapi', 'cocoki', 'hari', 'ini', 'lumayan']","['emang', 'boleh', 'begitu', 'sama', 'seperti', 'kemarin', 'tetapi', 'cocoki', 'hari', 'ini', 'lumayan']","['emang', 'kemarin', 'cocoki', 'lumayan']",emang kemarin cocok lumayan,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.573846697807312}",0.573846697807312
Sun Aug 27 21:27:26 +0000 2023,1695910918302191838,"@scanofhyuk Bang, selain cocoki lo main game lain gak? 😅",0,1,0,0,in,1590707956253097984,1695908022231654552,scanofjeno,https://twitter.com/scanofjeno/status/1695910918302191838,bang selain cocoki lo main game lain gak,"['bang', 'selain', 'cocoki', 'lo', 'main', 'game', 'lain', 'gak']","['bang', 'selain', 'cocoki', 'lo', 'main', 'game', 'lain', 'tidak']","['bang', 'cocoki', 'lo', 'main', 'game']",bang cocok lo main game,POSITIVE,"{'label': 'POSITIVE', 'score': 0.9870154857635498}",0.9870154857635498
Sun Aug 27 21:18:15 +0000 2023,1695908610470252648,@coastbycoastt shopee cocoki yg betul,0,0,0,0,in,239653144,1695907494714036511,pingkynaa,https://twitter.com/pingkynaa/status/1695908610470252648,shopee cocoki yg betul,"['shopee', 'cocoki', 'yg', 'betul']","['shopee', 'cocoki', 'yang', 'betul']","['shopee', 'cocoki']",shopee cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9837207794189453}",0.9837207794189453
Sun Aug 27 20:47:14 +0000 2023,1695900804212003213,@melovebun Bukannya makin stress kalau main cocoki 😭,0,1,0,0,in,2309502198,1695863256190230847,blissofaurora,https://twitter.com/blissofaurora/status/1695900804212003213,bukannya makin stress kalau main cocoki,"['bukannya', 'makin', 'stress', 'kalau', 'main', 'cocoki']","['bukannya', 'makin', 'stress', 'kalau', 'main', 'cocoki']","['stress', 'main', 'cocoki']",stress main cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9763661623001099}",0.9763661623001099
Sun Aug 27 20:46:52 +0000 2023,1695900712012767615,Cocoki ini bener bener bikin stres jancokkkk,0,0,0,1,in,1300429987959332864,1695900712012767615,inhyukbb_,https://twitter.com/inhyukbb_/status/1695900712012767615,cocoki ini bener bener bikin stres jancokkkk,"['cocoki', 'ini', 'bener', 'bener', 'bikin', 'stres', 'jancokkkk']","['cocoki', 'ini', 'benar', 'benar', 'bikin', 'stres', 'jancokkkk']","['cocoki', 'bikin', 'stres', 'jancokkkk']",cocok bikin stres jancokkkk,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9839994311332703}",0.9839994311332703
Sun Aug 27 20:35:43 +0000 2023,1695897904177987626,cocoki hari ini cuma sekali percobaan woyy!! 😭🤟 https://t.co/nkojIjhCKB,0,0,0,0,in,1310568863717707776,1695897904177987626,deeyri,https://twitter.com/deeyri/status/1695897904177987626,cocoki hari ini cuma sekali percobaan woyy,"['cocoki', 'hari', 'ini', 'cuma', 'sekali', 'percobaan', 'woyy']","['cocoki', 'hari', 'ini', 'cuma', 'sekali', 'percobaan', 'woyy']","['cocoki', 'percobaan', 'woyy']",cocok coba woyy,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9892459511756897}",0.9892459511756897
Sun Aug 27 20:33:22 +0000 2023,1695897313322131677,@ShopeeID Emang boleh cocoki hari ini se ez ini https://t.co/JH6nOvJEmJ,0,1,0,0,in,272354646,1682288650627985411,apdillah_akbar,https://twitter.com/apdillah_akbar/status/1695897313322131677,emang boleh cocoki hari ini se ez ini,"['emang', 'boleh', 'cocoki', 'hari', 'ini', 'se', 'ez', 'ini']","['emang', 'boleh', 'cocoki', 'hari', 'ini', 'se', 'mudah', 'ini']","['emang', 'cocoki', 'mudah']",emang cocok mudah,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9793861508369446}",0.9793861508369446
Sun Aug 27 20:02:46 +0000 2023,1695889612378624175,jd kecanduan cocoki,0,0,0,0,in,1206140097474646016,1695889612378624175,cintanau,https://twitter.com/cintanau/status/1695889612378624175,jd kecanduan cocoki,"['jd', 'kecanduan', 'cocoki']","['jadi', 'kecanduan', 'cocoki']","['kecanduan', 'cocoki']",candu cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8513793349266052}",0.8513793349266052
Sun Aug 27 19:54:14 +0000 2023,1695887464274260092,kalo udah pusing main puzzle ya main cocoki biar makin pusing,0,0,0,0,in,1412356604066861064,1695887464274260092,iwuffyoubb,https://twitter.com/iwuffyoubb/status/1695887464274260092,kalo udah pusing main puzzle ya main cocoki biar makin pusing,"['kalo', 'udah', 'pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'biar', 'makin', 'pusing']","['kalau', 'sudah', 'pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'biar', 'makin', 'pusing']","['pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'pusing']",pusing main puzzle ya main cocok pusing,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9939646124839783}",0.9939646124839783
