created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleaned_text,tokens,normalisasi,Stopwords,Stemmer,label,sentiment,score,label_manual
Sun Aug 27 23:21:18 +0000 2023,1.70E+18,@kacchaou Cocoki ga sih,0,1,0,0,in,85044516,1.70E+18,herianiyulia,https://twitter.com/herianiyulia/status/1695939577196982709,cocoki ga sih,"['cocoki', 'ga', 'sih']","['cocoki', 'tidak', 'sih']","['cocoki', 'sih']",cocok sih,POSITIVE,"{'label': 'POSITIVE', 'score': 0.8623359203338623}",0.86233592,POSITIVE
Sun Aug 27 23:14:57 +0000 2023,1.70E+18,alasan buat thread menang cocoki adalah? biar ga penuhin memori di galeri dan buat kenang kenangan bisa menangin game laknat ini ðŸ˜ŽðŸ‘ŠðŸ»  soalnya mau diapus ss nya juga sayang jadi buat ginian deng ðŸ«¶ðŸ»ðŸ©µ,0,0,0,0,in,1.60E+18,1.70E+18,kissedbyfara,https://twitter.com/kissedbyfara/status/1695937978110280018,alasan buat thread menang cocoki adalah biar ga penuhin memori di galeri dan buat kenang kenangan bisa menangin game laknat ini soalnya mau diapus ss nya juga sayang jadi buat ginian deng,"['alasan', 'buat', 'thread', 'menang', 'cocoki', 'adalah', 'biar', 'ga', 'penuhin', 'memori', 'di', 'galeri', 'dan', 'buat', 'kenang', 'kenangan', 'bisa', 'menangin', 'game', 'laknat', 'ini', 'soalnya', 'mau', 'diapus', 'ss', 'nya', 'juga', 'sayang', 'jadi', 'buat', 'ginian', 'deng']","['alasan', 'buat', 'thread', 'menang', 'cocoki', 'adalah', 'biar', 'tidak', 'penuhin', 'memori', 'di', 'galeri', 'dan', 'buat', 'kenang', 'kenangan', 'bisa', 'menangin', 'game', 'laknat', 'ini', 'soalnya', 'mau', 'diapus', 'ss', 'nya', 'juga', 'sayang', 'jadi', 'buat', 'ginian', 'deng']","['thread', 'menang', 'cocoki', 'penuhin', 'memori', 'galeri', 'kenang', 'kenangan', 'menangin', 'game', 'laknat', 'diapus', 'ss', 'sayang', 'ginian', 'deng']",thread menang cocok penuhin memori galeri kenang kenang menangin game laknat diapus ss sayang ginian deng,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9841757416725159}",0.984175742,NEGATIVE
Sun Aug 27 23:12:11 +0000 2023,1.70E+18,@hwistoria Dewa cocoki,0,1,0,0,in,1.21E+18,1.70E+18,thisisuerkiz,https://twitter.com/thisisuerkiz/status/1695937281885180242,dewa cocoki,"['dewa', 'cocoki']","['dewa', 'cocoki']","['dewa', 'cocoki']",dewa cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9419493079185486}",0.941949308,POSITIVE
Sun Aug 27 23:12:07 +0000 2023,1.70E+18,"Pamer menang shopee cocoki part 2.27. Good morning kepada screen recordku, spotipai, dan syopi yang mau diajak kerja sama pagi ini ðŸ˜˜ https://t.co/CCIEWaeU3p",1,1,0,0,in,1518393276,1.70E+18,yayukfit,https://twitter.com/yayukfit/status/1695937262452883692,pamer menang shopee cocoki part 227 good morning kepada screen recordku spotipai dan syopi yang mau diajak kerja sama pagi ini,"['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'kepada', 'screen', 'recordku', 'spotipai', 'dan', 'syopi', 'yang', 'mau', 'diajak', 'kerja', 'sama', 'pagi', 'ini']","['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'kepada', 'screen', 'recordku', 'spotipai', 'dan', 'syopi', 'yang', 'mau', 'diajak', 'kerja', 'sama', 'pagi', 'ini']","['pamer', 'menang', 'shopee', 'cocoki', 'part', '227', 'good', 'morning', 'screen', 'recordku', 'spotipai', 'syopi', 'diajak', 'kerja']",pamer menang shopee cocok part 227 good morning screen recordku spotipai syopi ajak kerja,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6923279762268066}",0.692327976,POSITIVE
Sun Aug 27 23:06:23 +0000 2023,1.70E+18,COCOKI JANCOK,0,0,0,0,in,1.63E+18,1.70E+18,ddikkeyy,https://twitter.com/ddikkeyy/status/1695935820178583978,cocoki jancok,"['cocoki', 'jancok']","['cocoki', 'jancok']","['cocoki', 'jancok']",cocok jancok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9245151877403259}",0.924515188,NEGATIVE
Sun Aug 27 23:03:56 +0000 2023,1.70E+18,ya Allah pagi-pagi udah menang cocoki.. today's gonna be a GOOD DAY ðŸ˜ https://t.co/sJmmBEgHQv,0,1,0,0,in,547495115,1.70E+18,STPHNHWANG,https://twitter.com/STPHNHWANG/status/1695935204869931435,ya allah pagipagi udah menang cocoki todays gonna be good day,"['ya', 'allah', 'pagipagi', 'udah', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']","['ya', 'allah', 'pagipagi', 'sudah', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']","['ya', 'allah', 'pagipagi', 'menang', 'cocoki', 'todays', 'gon', 'na', 'be', 'good', 'day']",ya allah pagipagi menang cocok todays gon na be good day,POSITIVE,"{'label': 'POSITIVE', 'score': 0.9845394492149353}",0.984539449,POSITIVE
Sun Aug 27 23:01:27 +0000 2023,1.70E+18,WOOOW cocoki gue hari ini langsung menang di percobaan pertama hahaha,0,1,0,0,in,2410020924,1.70E+18,hanathexplorer,https://twitter.com/hanathexplorer/status/1695934580862365836,wooow cocoki gue hari ini langsung menang di percobaan pertama hahaha,"['wooow', 'cocoki', 'gue', 'hari', 'ini', 'langsung', 'menang', 'di', 'percobaan', 'pertama', 'hahaha']","['wooow', 'cocoki', 'saya', 'hari', 'ini', 'langsung', 'menang', 'di', 'percobaan', 'pertama', 'hahaha']","['wooow', 'cocoki', 'langsung', 'menang', 'percobaan', 'hahaha']",wooow cocok langsung menang coba hahaha,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9906921982765198}",0.990692198,NEGATIVE
Sun Aug 27 22:57:01 +0000 2023,1.70E+18,@dudidudidumb Skip dlu kt cocoki,0,1,0,0,in,2950138574,1.70E+18,inikhael,https://twitter.com/inikhael/status/1695933466448367742,skip dlu kt cocoki,"['skip', 'dlu', 'kt', 'cocoki']","['skip', 'dulu', 'kita', 'cocoki']","['skip', 'cocoki']",skip cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9969006776809692}",0.996900678,NETRAL
Sun Aug 27 22:56:50 +0000 2023,1.70E+18,@EchoesJAKE FAKMEN GUA UDAH LUPA CARA MAIN COCOKI.,0,1,0,0,in,1.69E+18,1.70E+18,VoyagersMarklee,https://twitter.com/VoyagersMarklee/status/1695933418759241735,fakmen gua udah lupa cara main cocoki,"['fakmen', 'gua', 'udah', 'lupa', 'cara', 'main', 'cocoki']","['fakmen', 'gua', 'sudah', 'lupa', 'cara', 'main', 'cocoki']","['fakmen', 'gua', 'lupa', 'main', 'cocoki']",fakmen gua lupa main cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9716703295707703}",0.97167033,NETRAL
Sun Aug 27 22:56:10 +0000 2023,1.70E+18,@yoonghere Siap ikut lomba cocokiðŸ˜,0,0,0,0,in,8.86E+17,1.70E+18,NIDNOPE,https://twitter.com/NIDNOPE/status/1695933252476039561,siap ikut lomba cocoki,"['siap', 'ikut', 'lomba', 'cocoki']","['siap', 'ikut', 'lomba', 'cocoki']","['lomba', 'cocoki']",lomba cocok,POSITIVE,"{'label': 'POSITIVE', 'score': 0.6408445835113525}",0.640844584,NETRAL
Sun Aug 27 22:53:56 +0000 2023,1.70E+18,"Ingpo cit sopi cocoki, gw dh lelah https://t.co/8M3M4OvX9H",0,0,0,0,in,1.46E+18,1.70E+18,tisaaWoe,https://twitter.com/tisaaWoe/status/1695932688216248572,ingpo cit sopi cocoki gw dh lelah,"['ingpo', 'cit', 'sopi', 'cocoki', 'gw', 'dh', 'lelah']","['info', 'cit', 'shopee', 'cocoki', 'gw', 'dh', 'lelah']","['info', 'cit', 'shopee', 'cocoki', 'gw', 'dh', 'lelah']",info cit shopee cocok gw dh lelah,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9869856238365173}",0.986985624,NEGATIVE
Sun Aug 27 22:43:49 +0000 2023,1.70E+18,anjay pertama kali dapet cocoki https://t.co/02X2JeRO7P,0,0,0,0,in,1.06E+18,1.70E+18,mienstann,https://twitter.com/mienstann/status/1695930144542871700,anjay pertama kali dapet cocoki,"['anjay', 'pertama', 'kali', 'dapet', 'cocoki']","['anjay', 'pertama', 'kali', 'dapet', 'cocoki']","['anjay', 'kali', 'dapet', 'cocoki']",anjay kali dapet cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9361766576766968}",0.936176658,POSITIVE
Sun Aug 27 22:31:35 +0000 2023,1.70E+18,belum tidur hm semaleman bukannya ngerjain apa gitu malah main shopee cocoki. geregetan jd gabisa tidur,0,0,0,0,in,1.62E+18,1.70E+18,spidermarkworld,https://twitter.com/spidermarkworld/status/1695927065114198078,belum tidur hm semaleman bukannya ngerjain apa gitu malah main shopee cocoki geregetan jd gabisa tidur,"['belum', 'tidur', 'hm', 'semaleman', 'bukannya', 'ngerjain', 'apa', 'gitu', 'malah', 'main', 'shopee', 'cocoki', 'geregetan', 'jd', 'gabisa', 'tidur']","['belum', 'tidur', 'hm', 'semaleman', 'bukannya', 'ngerjain', 'apa', 'begitu', 'malah', 'main', 'shopee', 'cocoki', 'geregetan', 'jadi', 'gabisa', 'tidur']","['tidur', 'hm', 'semaleman', 'ngerjain', 'main', 'shopee', 'cocoki', 'geregetan', 'gabisa', 'tidur']",tidur hm maleman ngerjain main shopee cocok gereget gabisa tidur,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9803810715675354}",0.980381072,NEGATIVE
Sun Aug 27 22:29:46 +0000 2023,1.70E+18,au dah ini cocoki asu,0,0,0,0,in,1.68E+18,1.70E+18,eskupwinjuseyo,https://twitter.com/eskupwinjuseyo/status/1695926608388116805,au dah ini cocoki asu,"['au', 'dah', 'ini', 'cocoki', 'asu']","['tahu', 'sudah', 'ini', 'cocoki', 'asu']","['cocoki', 'asu']",cocok asu,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8720169067382812}",0.872016907,NEGATIVE
Sun Aug 27 22:29:13 +0000 2023,1.70E+18,"@I_cylindrica Pasti hari Senin mu indah kak. Aku lagi scroll tips cocoki hari ini, huhu",0,1,0,0,in,3425819507,1.70E+18,slhanum_,https://twitter.com/slhanum_/status/1695926470437372177,pasti hari senin mu indah kak aku lagi scroll tips cocoki hari ini huhu,"['pasti', 'hari', 'senin', 'mu', 'indah', 'kak', 'aku', 'lagi', 'scroll', 'tips', 'cocoki', 'hari', 'ini', 'huhu']","['pasti', 'hari', 'senin', 'mu', 'indah', 'kak', 'saya', 'lagi', 'scroll', 'tips', 'cocoki', 'hari', 'ini', 'huhu']","['senin', 'mu', 'indah', 'kak', 'scroll', 'tips', 'cocoki', 'huhu']",senin mu indah kak scroll tips cocok huhu,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9642370939254761}",0.964237094,NETRAL
Sun Aug 27 22:27:09 +0000 2023,1.70E+18,memulai hari senin dengan menang cocoki ðŸ«  https://t.co/HqFrB9lau4,0,2,0,0,in,8.93E+17,1.70E+18,I_cylindrica,https://twitter.com/I_cylindrica/status/1695925948464644104,memulai hari senin dengan menang cocoki,"['memulai', 'hari', 'senin', 'dengan', 'menang', 'cocoki']","['memulai', 'hari', 'senin', 'dengan', 'menang', 'cocoki']","['senin', 'menang', 'cocoki']",senin menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6304615139961243}",0.630461514,POSITIVE
Sun Aug 27 22:15:29 +0000 2023,1.70E+18,@indahazhr_ Tapi temen gue ada yg 3x menang Cocoki ðŸ˜­,0,0,0,0,in,41380133,1.70E+18,nindyabestari,https://twitter.com/nindyabestari/status/1695923010652590199,tapi temen gue ada yg 3x menang cocoki,"['tapi', 'temen', 'gue', 'ada', 'yg', '3x', 'menang', 'cocoki']","['tetapi', 'temen', 'saya', 'ada', 'yang', '3x', 'menang', 'cocoki']","['temen', '3x', 'menang', 'cocoki']",temen 3x menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.6121538281440735}",0.612153828,POSITIVE
Sun Aug 27 22:07:54 +0000 2023,1.70E+18,â€œdia lebih cantikâ€  - owh  â€œdia lebih pinterâ€ - owh  â€œdia bisa menang cocokiâ€ - ðŸ˜­ðŸ˜­ðŸ˜­,0,0,0,0,in,1.13E+18,1.70E+18,_kkeshii,https://twitter.com/_kkeshii/status/1695921104081351136,dia lebih cantik owh dia lebih pinter owh dia bisa menang cocoki,"['dia', 'lebih', 'cantik', 'owh', 'dia', 'lebih', 'pinter', 'owh', 'dia', 'bisa', 'menang', 'cocoki']","['dia', 'lebih', 'cantik', 'owh', 'dia', 'lebih', 'pinter', 'owh', 'dia', 'bisa', 'menang', 'cocoki']","['cantik', 'owh', 'pinter', 'owh', 'menang', 'cocoki']",cantik owh pinter owh menang cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9781554341316223}",0.978155434,POSITIVE
Sun Aug 27 21:56:50 +0000 2023,1.70E+18,"menang ke sebelas kali  shopee cocoki senin, 28 agustus 2023 ðŸ† https://t.co/c4TuH1W7PT",0,2,0,0,in,91371264,1.69E+18,ceciliamanda,https://twitter.com/ceciliamanda/status/1695918317348028716,menang ke sebelas kali shopee cocoki senin 28 agustus 2023,"['menang', 'ke', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']","['menang', 'ke', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']","['menang', 'sebelas', 'kali', 'shopee', 'cocoki', 'senin', '28', 'agustus', '2023']",menang sebelas kali shopee cocok senin 28 agustus 2023,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8660433292388916}",0.866043329,POSITIVE
Sun Aug 27 21:45:42 +0000 2023,1.70E+18,"blm pernah, ngeselin itu cocoki ditimpa timpa jadi susah masanginnya",0,0,0,0,in,1.25E+18,1.70E+18,ciaaforger,https://twitter.com/ciaaforger/status/1695915517956256249,blm pernah ngeselin itu cocoki ditimpa timpa jadi susah masanginnya,"['blm', 'pernah', 'ngeselin', 'itu', 'cocoki', 'ditimpa', 'timpa', 'jadi', 'susah', 'masanginnya']","['belum', 'pernah', 'ngeselin', 'itu', 'cocoki', 'ditimpa', 'timpa', 'jadi', 'susah', 'masanginnya']","['ngeselin', 'cocoki', 'ditimpa', 'timpa', 'susah', 'masanginnya']",ngeselin cocok timpa timpa susah masanginnya,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9841170907020569}",0.984117091,NEGATIVE
Sun Aug 27 21:41:04 +0000 2023,1.70E+18,"emang boleh gitu sama kayak kemarin,  tapi cocoki hari ini lumayan https://t.co/MnljQXfYLQ",0,0,0,0,in,1.47E+18,1.70E+18,akumaum3,https://twitter.com/akumaum3/status/1695914350199095668,emang boleh gitu sama kayak kemarin tapi cocoki hari ini lumayan,"['emang', 'boleh', 'gitu', 'sama', 'kayak', 'kemarin', 'tapi', 'cocoki', 'hari', 'ini', 'lumayan']","['emang', 'boleh', 'begitu', 'sama', 'seperti', 'kemarin', 'tetapi', 'cocoki', 'hari', 'ini', 'lumayan']","['emang', 'kemarin', 'cocoki', 'lumayan']",emang kemarin cocok lumayan,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.573846697807312}",0.573846698,NETRAL
Sun Aug 27 21:27:26 +0000 2023,1.70E+18,"@scanofhyuk Bang, selain cocoki lo main game lain gak? ðŸ˜…",0,1,0,0,in,1.59E+18,1.70E+18,scanofjeno,https://twitter.com/scanofjeno/status/1695910918302191838,bang selain cocoki lo main game lain gak,"['bang', 'selain', 'cocoki', 'lo', 'main', 'game', 'lain', 'gak']","['bang', 'selain', 'cocoki', 'lo', 'main', 'game', 'lain', 'tidak']","['bang', 'cocoki', 'lo', 'main', 'game']",bang cocok lo main game,POSITIVE,"{'label': 'POSITIVE', 'score': 0.9870154857635498}",0.987015486,NETRAL
Sun Aug 27 21:18:15 +0000 2023,1.70E+18,@coastbycoastt shopee cocoki yg betul,0,0,0,0,in,239653144,1.70E+18,pingkynaa,https://twitter.com/pingkynaa/status/1695908610470252648,shopee cocoki yg betul,"['shopee', 'cocoki', 'yg', 'betul']","['shopee', 'cocoki', 'yang', 'betul']","['shopee', 'cocoki']",shopee cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9837207794189453}",0.983720779,NETRAL
Sun Aug 27 20:47:14 +0000 2023,1.70E+18,@melovebun Bukannya makin stress kalau main cocoki ðŸ˜­,0,1,0,0,in,2309502198,1.70E+18,blissofaurora,https://twitter.com/blissofaurora/status/1695900804212003213,bukannya makin stress kalau main cocoki,"['bukannya', 'makin', 'stress', 'kalau', 'main', 'cocoki']","['bukannya', 'makin', 'stress', 'kalau', 'main', 'cocoki']","['stress', 'main', 'cocoki']",stress main cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9763661623001099}",0.976366162,NEGATIVE
Sun Aug 27 20:46:52 +0000 2023,1.70E+18,Cocoki ini bener bener bikin stres jancokkkk,0,0,0,1,in,1.30E+18,1.70E+18,inhyukbb_,https://twitter.com/inhyukbb_/status/1695900712012767615,cocoki ini bener bener bikin stres jancokkkk,"['cocoki', 'ini', 'bener', 'bener', 'bikin', 'stres', 'jancokkkk']","['cocoki', 'ini', 'benar', 'benar', 'bikin', 'stres', 'jancokkkk']","['cocoki', 'bikin', 'stres', 'jancokkkk']",cocok bikin stres jancokkkk,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9839994311332703}",0.983999431,NEGATIVE
Sun Aug 27 20:35:43 +0000 2023,1.70E+18,cocoki hari ini cuma sekali percobaan woyy!! ðŸ˜­ðŸ¤Ÿ https://t.co/nkojIjhCKB,0,0,0,0,in,1.31E+18,1.70E+18,deeyri,https://twitter.com/deeyri/status/1695897904177987626,cocoki hari ini cuma sekali percobaan woyy,"['cocoki', 'hari', 'ini', 'cuma', 'sekali', 'percobaan', 'woyy']","['cocoki', 'hari', 'ini', 'cuma', 'sekali', 'percobaan', 'woyy']","['cocoki', 'percobaan', 'woyy']",cocok coba woyy,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9892459511756897}",0.989245951,NETRAL
Sun Aug 27 20:33:22 +0000 2023,1.70E+18,@ShopeeID Emang boleh cocoki hari ini se ez ini https://t.co/JH6nOvJEmJ,0,1,0,0,in,272354646,1.68E+18,apdillah_akbar,https://twitter.com/apdillah_akbar/status/1695897313322131677,emang boleh cocoki hari ini se ez ini,"['emang', 'boleh', 'cocoki', 'hari', 'ini', 'se', 'ez', 'ini']","['emang', 'boleh', 'cocoki', 'hari', 'ini', 'se', 'mudah', 'ini']","['emang', 'cocoki', 'mudah']",emang cocok mudah,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9793861508369446}",0.979386151,POSITIVE
Sun Aug 27 20:02:46 +0000 2023,1.70E+18,jd kecanduan cocoki,0,0,0,0,in,1.21E+18,1.70E+18,cintanau,https://twitter.com/cintanau/status/1695889612378624175,jd kecanduan cocoki,"['jd', 'kecanduan', 'cocoki']","['jadi', 'kecanduan', 'cocoki']","['kecanduan', 'cocoki']",candu cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.8513793349266052}",0.851379335,NEGATIVE
Sun Aug 27 19:54:14 +0000 2023,1.70E+18,kalo udah pusing main puzzle ya main cocoki biar makin pusing,0,0,0,0,in,1.41E+18,1.70E+18,iwuffyoubb,https://twitter.com/iwuffyoubb/status/1695887464274260092,kalo udah pusing main puzzle ya main cocoki biar makin pusing,"['kalo', 'udah', 'pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'biar', 'makin', 'pusing']","['kalau', 'sudah', 'pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'biar', 'makin', 'pusing']","['pusing', 'main', 'puzzle', 'ya', 'main', 'cocoki', 'pusing']",pusing main puzzle ya main cocok pusing,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9939646124839783}",0.993964612,NEGATIVE
